BirdID,LatinName,GermanName,EnglishName
3409,Megapodius eremita,Bismarck-Großfußhuhn,Melanesian Megapode
3410,Megapodius freycinet,Molukken-Großfußhuhn,Dusky Megapode
3411,Megapodius reinwardt,Rotbein-Großfußhuhn,Orange-footed Megapode
3412,Megarynchus pitangua,Starkschnabel-Maskentyrann,Boat-billed Flycatcher
3413,Megascops albogularis,Weißkehl-Kreischeule,White-throated Screech-Owl
3414,Megascops asio,Ostkreischeule,Eastern Screech-Owl
3415,Megascops atricapilla,Kappenkreischeule,Black-capped Screech-Owl
3416,Megascops centralis,Chocókreischeule,Choco Screech-Owl
3417,Megascops choliba,Tropenkreischeule,Tropical Screech-Owl
3418,Megascops clarkii,Nacktbein-Kreischeule,Bare-shanked Screech-Owl
3419,Megascops cooperi,Mangrovekreischeule,Pacific Screech-Owl
3420,Megascops gilesi,Santa-Marta-Kreischeule,Santa Marta Screech-Owl
3421,Megascops guatemalae,Rotgesicht-Kreischeule,Middle American Screech-Owl
3422,Megascops hoyi,Hoykreischeule,Montane Forest Screech-Owl
3423,Megascops ingens,Rostkreischeule,Rufescent Screech-Owl
3424,Megascops kennicottii,Westkreischeule,Western Screech-Owl
3425,Megascops koepckeae,Andenkreischeule,Koepcke's Screech-Owl
3426,Megascops petersoni,Zimtkreischeule,Cinnamon Screech-Owl
3427,Megascops roboratus,Buschkreischeule,Peruvian Screech-Owl
3428,Megascops roraimae,Roraima-Kreischeule,Foothill Screech-Owl
3429,Megascops sanctaecatarinae,Langohr-Kreischeule,Long-tufted Screech-Owl
3430,Megascops seductus,Balsaskreischeule,Balsas Screech-Owl
3431,Megascops trichopsis,Fleckenkreischeule,Whiskered Screech-Owl
3432,Megascops watsonii,Watsonkreischeule,Tawny-bellied Screech-Owl
3433,Megastictus margaritatus,Kurzschwanz-Ameisenwürger,Pearly Antshrike
3434,Megaxenops parnaguae,Zimtbaumspäher,Great Xenops
3435,Meiglyptes tristis,Wellenspecht,Zebra Woodpecker
3436,Meiglyptes tukki,Tukkispecht,Buff-necked Woodpecker
3437,Melaenornis edolioides,Senegaldrongoschnäpper,Northern Black-Flycatcher
3438,Melaenornis fischeri,Bergdrongoschnäpper,White-eyed Slaty-Flycatcher
3439,Melaenornis pammelaina,Glanzdrongoschnäpper,Southern Black-Flycatcher
3440,Melaenornis silens,Würgerschnäpper,Fiscal Flycatcher
3441,Melampitta lugubris,Glanzflöter,Lesser Melampitta
3442,Melanerpes aurifrons,Goldstirnspecht,Golden-fronted Woodpecker
3443,Melanerpes cactorum,Kaktusspecht,White-fronted Woodpecker
3444,Melanerpes candidus,Weißspecht,White Woodpecker
3445,Melanerpes carolinus,Carolinaspecht,Red-bellied Woodpecker
